"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"BSgenome","BSgenome","/opt/R/4.0.2/lib/R/library","1.58.0",NA,"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.28), IRanges (>= 2.13.16), GenomeInfoDb (>= 1.25.6),
GenomicRanges (>= 1.31.10), Biostrings (>= 2.47.6), rtracklayer
(>= 1.39.7)","methods, utils, stats, matrixStats, BiocGenerics, S4Vectors,
IRanges, XVector (>= 0.29.3), GenomeInfoDb, GenomicRanges,
Biostrings, Rsamtools, rtracklayer",NA,"BiocManager, Biobase, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
BSgenome.Scerevisiae.UCSC.sacCer1,
BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
XtraSNPlocs.Hsapiens.dbSNP144.GRCh38, hgu95av2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BSgenome.Hsapiens.UCSC.hg19","BSgenome.Hsapiens.UCSC.hg19","/opt/R/4.0.2/lib/R/library","1.4.3",NA,"BSgenome (>= 1.54.0)","BSgenome",NA,"",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BSgenome.Hsapiens.UCSC.hg38","BSgenome.Hsapiens.UCSC.hg38","/opt/R/4.0.2/lib/R/library","1.4.3",NA,"BSgenome (>= 1.55.2)","BSgenome",NA,"",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BSgenome.Mmusculus.UCSC.mm10","BSgenome.Mmusculus.UCSC.mm10","/opt/R/4.0.2/lib/R/library","1.4.0",NA,"BSgenome (>= 1.33.5)","BSgenome",NA,"TxDb.Mmusculus.UCSC.mm10.knownGene",NA,"Artistic-2.0",NA,NA,NA,NA,NA,"4.0.2"
"Cairo","Cairo","/opt/R/4.0.2/lib/R/library","1.5-12.2",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"callr","callr","/opt/R/4.0.2/lib/R/library","3.5.1",NA,NA,"processx (>= 3.4.4), R6, utils",NA,"cli, covr, crayon, fansi, pingr, ps, rprojroot, spelling,
testthat, tibble, withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"car","car","/opt/R/4.0.2/lib/R/library","3.0-10",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"carData","carData","/opt/R/4.0.2/lib/R/library","3.0-4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"caTools","caTools","/opt/R/4.0.2/lib/R/library","1.18.0",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"cellranger","cellranger","/opt/R/4.0.2/lib/R/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"checkmate.1","checkmate","/opt/R/4.0.2/lib/R/library","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"chromVAR","chromVAR","/opt/R/4.0.2/lib/R/library","1.12.0",NA,"R (>= 3.4)","IRanges, GenomeInfoDb, GenomicRanges, ggplot2, nabor,
BiocParallel, BiocGenerics, Biostrings, TFBSTools, Rsamtools,
S4Vectors, methods, Rcpp, grid, plotly, shiny, miniUI, stats,
utils, graphics, DT, Rtsne, Matrix, SummarizedExperiment,
RColorBrewer, BSgenome","Rcpp, RcppArmadillo","JASPAR2016, BSgenome.Hsapiens.UCSC.hg19, readr, testthat,
knitr, rmarkdown, pheatmap, motifmatchr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"circlize.1","circlize","/opt/R/4.0.2/lib/R/library","0.4.11",NA,"R (>= 3.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"class","class","/opt/R/4.0.2/lib/R/library","7.3-17","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"classInt","classInt","/opt/R/4.0.2/lib/R/library","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"cli.1","cli","/opt/R/4.0.2/lib/R/library","2.2.0",NA,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), glue, methods, utils, fansi",NA,"callr, covr, htmlwidgets, knitr, mockery, ps (>= 1.3.4.9000),
rmarkdown, rstudioapi, prettycode (>= 1.1.0), testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"clipr","clipr","/opt/R/4.0.2/lib/R/library","0.7.1",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"clue","clue","/opt/R/4.0.2/lib/R/library","0.3-57",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"cluster","cluster","/opt/R/4.0.2/lib/R/library","2.1.0","recommended","R (>= 3.3.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"CNEr","CNEr","/opt/R/4.0.2/lib/R/library","1.26.0",NA,"R (>= 3.4)","Biostrings (>= 2.33.4), DBI (>= 0.7), RSQLite (>= 0.11.4),
GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.23.16),
rtracklayer (>= 1.25.5), XVector (>= 0.5.4), GenomicAlignments
(>= 1.1.9), methods, S4Vectors (>= 0.13.13), IRanges (>=
2.5.27), readr (>= 0.2.2), BiocGenerics, tools, parallel,
reshape2 (>= 1.4.1), ggplot2 (>= 2.1.0), poweRlaw (>= 0.60.3),
annotate (>= 1.50.0), GO.db (>= 3.3.0), R.utils (>= 2.3.0),
KEGGREST (>= 1.14.0)","S4Vectors, IRanges, XVector","Gviz (>= 1.7.4), BiocStyle, knitr, rmarkdown, testthat,
BSgenome.Drerio.UCSC.danRer10, BSgenome.Hsapiens.UCSC.hg38,
TxDb.Drerio.UCSC.danRer10.refGene, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Ggallus.UCSC.galGal3",NA,"GPL-2 | file LICENSE",NA,"yes",NA,NA,"yes","4.0.2"
"coda","coda","/opt/R/4.0.2/lib/R/library","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"codetools","codetools","/opt/R/4.0.2/lib/R/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"coin","coin","/opt/R/4.0.2/lib/R/library","1.3-1",NA,"R (>= 3.4.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-0),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-0)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"colorspace.1","colorspace","/opt/R/4.0.2/lib/R/library","2.0-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"commonmark","commonmark","/opt/R/4.0.2/lib/R/library","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"compiler","compiler","/opt/R/4.0.2/lib/R/library","4.0.2","base",NA,NA,NA,NA,NA,"Part of R 4.0.2",NA,NA,NA,NA,NA,"4.0.2"
"ComplexHeatmap","ComplexHeatmap","/opt/R/4.0.2/lib/R/library","2.6.2",NA,"R (>= 3.1.2), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.5), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), parallel, png, Cairo,
digest, S4Vectors (>= 0.26.1), IRanges, matrixStats",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, dendextend (>= 1.0.1), grImport, grImport2, glue,
GenomicRanges, gridtext, pheatmap (>= 1.0.12), shiny",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"concaveman","concaveman","/opt/R/4.0.2/lib/R/library","1.1.0",NA,"R (>= 2.10)","V8, sf, magrittr, jsonlite, dplyr",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"conquer","conquer","/opt/R/4.0.2/lib/R/library","1.0.2",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"corrplot","corrplot","/opt/R/4.0.2/lib/R/library","0.84",NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"covr","covr","/opt/R/4.0.2/lib/R/library","3.5.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"cowplot","cowplot","/opt/R/4.0.2/lib/R/library","1.1.0",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"cpp11.1","cpp11","/opt/R/4.0.2/lib/R/library","0.2.4",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, testthat,
tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"crayon.1","crayon","/opt/R/4.0.2/lib/R/library","1.3.4",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"crosstalk","crosstalk","/opt/R/4.0.2/lib/R/library","1.1.0.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"curl","curl","/opt/R/4.0.2/lib/R/library","4.3",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"data.table.1","data.table","/opt/R/4.0.2/lib/R/library","1.13.2",NA,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, xts, nanotime, zoo, yaml, knitr,
rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"datasets","datasets","/opt/R/4.0.2/lib/R/library","4.0.2","base",NA,NA,NA,NA,NA,"Part of R 4.0.2",NA,NA,NA,NA,NA,"4.0.2"
"DBI","DBI","/opt/R/4.0.2/lib/R/library","1.1.0",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, hms, knitr, magrittr, rmarkdown, rprojroot,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"dbplyr","dbplyr","/opt/R/4.0.2/lib/R/library","2.0.0",NA,"R (>= 3.1)","assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), lifecycle, magrittr, methods, purrr (>= 0.2.5), R6
(>= 2.2.2), rlang (>= 0.2.0), tibble (>= 1.4.2), tidyselect (>=
0.2.4), blob (>= 1.2.0), utils, withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"DelayedArray","DelayedArray","/opt/R/4.0.2/lib/R/library","0.16.0",NA,"R (>= 3.4), methods, stats4, Matrix, BiocGenerics (>= 0.31.5),
MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2), IRanges (>=
2.17.3)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, pryr, DelayedMatrixStats, knitr,
BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"DelayedMatrixStats","DelayedMatrixStats","/opt/R/4.0.2/lib/R/library","1.12.0",NA,"MatrixGenerics, DelayedArray (>= 0.15.3)","methods, matrixStats (>= 0.56.0), sparseMatrixStats, Matrix,
S4Vectors (>= 0.17.5), IRanges, HDF5Array (>= 1.17.2),
BiocParallel",NA,"testthat, knitr, rmarkdown, covr, BiocStyle, microbenchmark,
profmem",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"deldir","deldir","/opt/R/4.0.2/lib/R/library","0.2-3",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"dendextend","dendextend","/opt/R/4.0.2/lib/R/library","1.14.0",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"desc","desc","/opt/R/4.0.2/lib/R/library","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"DESeq2","DESeq2","/opt/R/4.0.2/lib/R/library","1.30.0",NA,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, genefilter,
methods, stats4, locfit, geneplotter, ggplot2, Rcpp (>= 0.11.0)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, pasilla (>= 0.2.10), glmGamPoi, BiocManager",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"devtools","devtools","/opt/R/4.0.2/lib/R/library","2.3.2",NA,"R (>= 3.0.2), usethis (>= 1.6.3)","callr (>= 3.4.4), cli (>= 2.0.2), covr (>= 3.5.1), desc (>=
1.2.0), DT (>= 0.15), ellipsis (>= 0.3.1), httr (>= 1.4.2),
jsonlite (>= 1.7.1), memoise (>= 1.1.0), pkgbuild (>= 1.1.0),
pkgload (>= 1.1.0), rcmdcheck (>= 1.3.3), remotes (>= 2.2.0),
rlang (>= 0.4.7), roxygen2 (>= 7.1.1), rstudioapi (>= 0.11),
rversions (>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat
(>= 2.3.2), tools, utils, withr (>= 2.2.0)",NA,"BiocManager (>= 1.30.10), curl (>= 4.3), digest (>= 0.6.25),
foghorn (>= 1.3.1), gmailr (>= 1.0.0), knitr (>= 1.29), lintr
(>= 2.0.1), MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown
(>= 1.6.1), rhub (>= 1.1.1), rmarkdown (>= 2.3), spelling (>=
2.1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"dichromat","dichromat","/opt/R/4.0.2/lib/R/library","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.2"
"diffobj","diffobj","/opt/R/4.0.2/lib/R/library","0.3.2",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"digest.1","digest","/opt/R/4.0.2/lib/R/library","0.6.27",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"DirichletMultinomial","DirichletMultinomial","/opt/R/4.0.2/lib/R/library","1.32.0",NA,"S4Vectors, IRanges","stats4, methods, BiocGenerics",NA,"lattice, parallel, MASS, RColorBrewer, xtable",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"dittoSeq","dittoSeq","/opt/R/4.0.2/lib/R/library","1.2.1",NA,"ggplot2","methods, colorspace (>= 1.4), gridExtra, cowplot, reshape2,
pheatmap, grDevices, ggrepel, ggridges, stats, utils,
SummarizedExperiment, SingleCellExperiment, edgeR, S4Vectors",NA,"plotly, testthat, Seurat (>= 2.2), DESeq2, ggplot.multistats,
knitr, BiocStyle, scRNAseq, ggrastr (>= 0.2.0), ComplexHeatmap",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"doParallel","doParallel","/opt/R/4.0.2/lib/R/library","1.0.16",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.0.2"
"dplyr.1","dplyr","/opt/R/4.0.2/lib/R/library","1.0.2",NA,"R (>= 3.2.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 0.2.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.7), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.2)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 2.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"dqrng","dqrng","/opt/R/4.0.2/lib/R/library","0.2.1",NA,"R (>= 3.1.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","testthat, knitr, rmarkdown",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"DT","DT","/opt/R/4.0.2/lib/R/library","0.16",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.2.0), testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"e1071","e1071","/opt/R/4.0.2/lib/R/library","1.7-4",NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"EBImage","EBImage","/opt/R/4.0.2/lib/R/library","4.32.0",NA,"methods","BiocGenerics (>= 0.7.1), graphics, grDevices, stats, abind,
tiff, jpeg, png, locfit, fftwtools (>= 0.9-7), utils,
htmltools, htmlwidgets, RCurl",NA,"BiocStyle, digest, knitr, rmarkdown, shiny",NA,"LGPL",NA,NA,NA,NA,"yes","4.0.2"
"edgeR","edgeR","/opt/R/4.0.2/lib/R/library","3.32.0",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, Biobase, AnnotationDbi,
SummarizedExperiment, org.Hs.eg.db",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.0.2"
"ellipse","ellipse","/opt/R/4.0.2/lib/R/library","0.4.2",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"ellipsis.1","ellipsis","/opt/R/4.0.2/lib/R/library","0.3.1",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"ensembldb","ensembldb","/opt/R/4.0.2/lib/R/library","2.14.0",NA,"BiocGenerics (>= 0.15.10), GenomicRanges (>= 1.31.18),
GenomicFeatures (>= 1.29.10), AnnotationFilter (>= 1.5.2)","methods, RSQLite (>= 1.1), DBI, Biobase, GenomeInfoDb,
AnnotationDbi (>= 1.31.19), rtracklayer, S4Vectors (>=
0.23.10), Rsamtools, IRanges (>= 2.13.24), ProtGenerics,
Biostrings (>= 2.47.9), curl",NA,"BiocStyle, knitr, EnsDb.Hsapiens.v86 (>= 0.99.8), testthat,
BSgenome.Hsapiens.NCBI.GRCh38, ggbio (>= 1.24.0), Gviz (>=
1.20.0), magrittr, AnnotationHub","RMariaDB, shiny","LGPL",NA,NA,NA,NA,"no","4.0.2"
"entropy","entropy","/opt/R/4.0.2/lib/R/library","1.2.1",NA,"R (>= 2.15.1)",NA,NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"escape","escape","/opt/R/4.0.2/lib/R/library","1.0.0",NA,"R (>= 4.0)","grDevices, rlang, dplyr, factoextra, ggplot2, ggrepel,
GSEABase, GSVA, SingleCellExperiment, limma, ggridges, msigdbr,
stats, BiocParallel",NA,"Seurat, knitr, rmarkdown, BiocStyle, testthat, dittoSeq (>=
1.1.2)",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.2"
"evaluate.1","evaluate","/opt/R/4.0.2/lib/R/library","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ExperimentHub","ExperimentHub","/opt/R/4.0.2/lib/R/library","1.16.0",NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 2.19.3),
BiocFileCache (>= 1.5.1)","utils, S4Vectors, BiocManager, curl, rappdirs",NA,"knitr, BiocStyle","ExperimentHubData","Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"factoextra","factoextra","/opt/R/4.0.2/lib/R/library","1.0.7.999",NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"FactoMineR","FactoMineR","/opt/R/4.0.2/lib/R/library","2.3",NA,"R (>= 3.5.0)","car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"fansi.1","fansi","/opt/R/4.0.2/lib/R/library","0.4.1",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"farver.1","farver","/opt/R/4.0.2/lib/R/library","2.0.3",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fastcluster","fastcluster","/opt/R/4.0.2/lib/R/library","1.1.25",NA,"R (>= 3.0.0)",NA,NA,NA,"stats, flashClust","FreeBSD | GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fastmap.1","fastmap","/opt/R/4.0.2/lib/R/library","1.0.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fastmatch","fastmatch","/opt/R/4.0.2/lib/R/library","1.1-0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"fftwtools","fftwtools","/opt/R/4.0.2/lib/R/library","0.9-9",NA,"R (>= 2.15.2)",NA,NA,"fftw",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"findpython","findpython","/opt/R/4.0.2/lib/R/library","1.0.5",NA,NA,NA,NA,"covr, reticulate, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"fitdistrplus","fitdistrplus","/opt/R/4.0.2/lib/R/library","1.1-1",NA,"R (>= 3.2.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, knitcitations,
ggplot2, GeneralizedHyperbolic",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"flashClust","flashClust","/opt/R/4.0.2/lib/R/library","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.2"
"FNN","FNN","/opt/R/4.0.2/lib/R/library","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"forcats","forcats","/opt/R/4.0.2/lib/R/library","0.5.0",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
